id,issn,title,author,version,publish_date,link

0,02571559,xxx has facilitated yyy,龚静涵,10,2018-01-16,www.xxxxx.com
1,72440573,xxxxx 小议,龚静涵,12,2015-01-26,www.xxxxx.com
2,02571559,xxx improves yyy,龚静涵,5,1991-08-21,www.xxxxx.com
3,10603819,xxxxx 刍议,龚静涵,5,2003-01-24,www.xxxxx.com
4,69826728,xxxxx 刍议,龚静涵,12,1998-04-20,www.xxxxx.com
5,58167862,xxxxx 小议,龚静涵,23,2001-12-06,www.xxxxx.com
6,58167862,xxxxx 小议,龚静涵,21,1994-03-06,www.xxxxx.com
7,69826728,xxx has facilitated yyy,龚静涵,17,1996-10-05,www.xxxxx.com
8,69826728,xxx has facilitated yyy,龚静涵,15,1990-09-13,www.xxxxx.com
9,72440573,xxx 在 zzz 时促进了 yyy,龚静涵,6,2016-10-02,www.xxxxx.com
10,96546119,xxxxx 小议,龚静涵,21,2005-05-13,www.xxxxx.com
11,72440573,xxxx 对 yyy 有重大影响,龚静涵,5,2022-08-08,www.xxxxx.com
12,69826728,xxxxx 刍议,龚静涵,10,2003-02-05,www.xxxxx.com
13,72440573,xxxxx 刍议,龚静涵,21,2018-01-22,www.xxxxx.com
14,58167862,xxxxx 小议,龚静涵,24,1996-01-16,www.xxxxx.com
15,72440573,xxxx 对 yyy 有重大影响,龚静涵,19,1992-01-10,www.xxxxx.com
16,02571559,xxxxx 小议,龚静涵,13,2015-03-18,www.xxxxx.com
17,72440573,xxxxx 刍议,龚静涵,22,2003-03-17,www.xxxxx.com
18,10603819,xxxxx 浅析,龚静涵,1,2013-06-01,www.xxxxx.com
19,69826728,论 xxxxx 在 xxxxx 中的应用,龚静涵,3,2017-03-05,www.xxxxx.com
20,58167862,xxxxx 小议,龚静涵,7,1997-10-28,www.xxxxx.com
21,96546119,xxx improves yyy,龚静涵,5,2018-09-20,www.xxxxx.com
22,69826728,xxx has facilitated yyy,龚静涵,11,1993-10-04,www.xxxxx.com
23,10603819,xxx improves yyy,龚静涵,14,2014-10-03,www.xxxxx.com
24,02571559,xxxxx 刍议,龚静涵,21,2008-10-26,www.xxxxx.com
25,96546119,xxx has facilitated yyy,龚静涵,23,2003-09-19,www.xxxxx.com
26,69826728,xxxxx 小议,龚静涵,1,2002-08-04,www.xxxxx.com
27,02571559,xxx 在 zzz 时促进了 yyy,龚静涵,20,2019-08-20,www.xxxxx.com
28,02571559,xxx 在 zzz 时促进了 yyy,龚静涵,3,2001-09-11,www.xxxxx.com
29,10603819,xxx 在 zzz 时促进了 yyy,龚静涵,20,2021-12-11,www.xxxxx.com
30,58167862,xxxxx 小议,龚静涵,8,2017-03-21,www.xxxxx.com
31,69826728,xxxxx 浅析,龚静涵,15,1992-03-01,www.xxxxx.com
32,69826728,xxxx 对 yyy 有重大影响,龚静涵,20,2020-10-07,www.xxxxx.com
33,96546119,xxxxx 小议,龚静涵,15,2010-08-14,www.xxxxx.com
34,02571559,xxx 在 zzz 时促进了 yyy,龚静涵,8,2021-12-01,www.xxxxx.com
35,96546119,论 xxxx,龚静涵,19,2022-07-13,www.xxxxx.com
36,02571559,xxx has facilitated yyy,龚静涵,23,1996-10-18,www.xxxxx.com
37,58167862,论 xxxxx 在 xxxxx 中的应用,龚静涵,5,2002-12-21,www.xxxxx.com
38,58167862,xxx improves yyy,龚静涵,24,2004-03-14,www.xxxxx.com
39,72440573,xxxxx 浅析,龚静涵,2,2022-02-16,www.xxxxx.com
40,69826728,论 xxxxx 在 xxxxx 中的应用,丁如风,8,2009-02-28,www.xxxxx.com
41,72440573,xxxx 对 yyy 有重大影响,丁如风,19,2019-01-23,www.xxxxx.com
42,72440573,xxx has facilitated yyy,丁如风,4,2007-07-11,www.xxxxx.com
43,69826728,xxx 在 zzz 时促进了 yyy,丁如风,24,2012-01-18,www.xxxxx.com
44,10603819,论 xxxx,丁如风,18,2015-08-12,www.xxxxx.com
45,69826728,xxx has facilitated yyy,丁如风,16,1998-04-04,www.xxxxx.com
46,58167862,论 xxxxx 在 xxxxx 中的应用,丁如风,14,2004-08-20,www.xxxxx.com
47,69826728,论 xxxx,丁如风,4,2022-01-03,www.xxxxx.com
48,02571559,论 xxxxx 在 xxxxx 中的应用,丁如风,7,2009-11-21,www.xxxxx.com
49,72440573,论 xxxx,丁如风,18,2006-11-24,www.xxxxx.com
50,58167862,xxxx 对 yyy 有重大影响,丁如风,12,1991-04-02,www.xxxxx.com
51,02571559,xxxxx 小议,丁如风,13,2023-08-09,www.xxxxx.com
52,96546119,xxx has facilitated yyy,丁如风,20,2010-10-03,www.xxxxx.com
53,96546119,xxxxx 小议,丁如风,7,2003-05-24,www.xxxxx.com
54,72440573,论 xxxxx 在 xxxxx 中的应用,丁如风,23,1998-12-08,www.xxxxx.com
