isbn,title,author,publisher,publish_year,place_published,picture,link

10114648,论 xxxxx 在 xxxxx 中的应用,龚静涵,清华大学出版社,2015-11-19,西安,,www.xxxxx.com
00744738,xxx improves yyy,龚静涵,商务印书馆,2007-12-14,杭州,,www.xxxxx.com
69703300,xxx has facilitated yyy,龚静涵,河北农业大学出版社,1998-06-20,哈尔滨,,www.xxxxx.com
94499327,论 xxxx,龚静涵,人民美术出版社,2017-06-13,海口,,www.xxxxx.com
92791680,论 xxxx,龚静涵,北京师范大学出版社,1999-04-26,重庆,,www.xxxxx.com
97208667,xxx improves yyy,龚静涵,北京语言大学出版社,2017-07-21,昆明,,www.xxxxx.com
74206033,xxx has facilitated yyy,龚静涵,南京农业大学出版社,2001-08-24,苏州,,www.xxxxx.com
04165599,xxx has facilitated yyy,龚静涵,北京科技大学出版社,2016-08-26,天津,,www.xxxxx.com
01771952,论 xxxx,龚静涵,河北农业大学出版社,2022-03-20,昆明,,www.xxxxx.com
43519005,xxxxx 刍议,龚静涵,北京体育大学出版社,1993-10-17,南京,,www.xxxxx.com
34691984,xxx has facilitated yyy,龚静涵,南京农业大学出版社,2023-10-01,西宁,,www.xxxxx.com
91551574,xxx improves yyy,龚静涵,北京体育大学出版社,2010-01-01,济南,,www.xxxxx.com
68388139,xxx improves yyy,龚静涵,南京农业大学出版社,2002-05-27,沈阳,,www.xxxxx.com
79819036,论 xxxx,龚静涵,北京体育大学出版社,2014-07-25,合肥,,www.xxxxx.com
99321950,xxx improves yyy,龚静涵,北京语言大学出版社,2020-10-23,海口,,www.xxxxx.com
38144525,xxxxx 刍议,龚静涵,南京农业大学出版社,2005-04-26,武汉,,www.xxxxx.com
19539811,xxxxx 刍议,龚静涵,商务印书馆,2016-10-28,重庆,,www.xxxxx.com
16204603,xxx 在 zzz 时促进了 yyy,龚静涵,北京语言大学出版社,2009-11-10,兰州,,www.xxxxx.com
23037119,xxx improves yyy,龚静涵,河北师范大学出版社,1993-05-12,长春,,www.xxxxx.com
60987874,xxxxx 小议,龚静涵,南京航空航天大学出版社,1991-10-28,厦门,,www.xxxxx.com
84875265,xxx has facilitated yyy,丁如风,北京师范大学出版社,2012-04-22,上海,,www.xxxxx.com
32538219,xxxxx 小议,丁如风,北京印刷学院出版社,2006-02-09,沈阳,,www.xxxxx.com
58606423,xxxxx 小议,丁如风,人民音乐出版社,1994-12-03,西宁,,www.xxxxx.com
02640878,论 xxxx,丁如风,北京电子科技学院出版社,2015-11-23,贵阳,,www.xxxxx.com
44839578,xxx has facilitated yyy,丁如风,人民美术出版社,2014-08-25,上海,,www.xxxxx.com
38026744,论 xxxxx 在 xxxxx 中的应用,丁如风,人民教育出版社,1995-09-10,重庆,,www.xxxxx.com
18889489,xxx 在 zzz 时促进了 yyy,丁如风,南京大学出版社,2017-02-10,武汉,,www.xxxxx.com
92370620,xxxxx 浅析,丁如风,南京理工大学出版社,2006-01-20,沈阳,,www.xxxxx.com
38579419,xxxxx 浅析,丁如风,河北师范大学出版社,2000-12-28,北京,,www.xxxxx.com
02945158,论 xxxxx 在 xxxxx 中的应用,丁如风,南京农业大学出版社,2016-05-13,沈阳,,www.xxxxx.com
85652061,xxx has facilitated yyy,丁如风,河北工业大学出版社,2014-10-14,南昌,,www.xxxxx.com
51886514,xxxxx 小议,丁如风,南京农业大学出版社,1996-02-17,石家庄,,www.xxxxx.com
98113231,xxxx 对 yyy 有重大影响,丁如风,河北农业大学出版社,2011-12-28,广州,,www.xxxxx.com
30248867,xxxx 对 yyy 有重大影响,丁如风,河北人民出版社,2007-01-26,大连,,www.xxxxx.com
72677266,xxxxx 刍议,丁如风,南京大学出版社,2014-03-03,大连,,www.xxxxx.com
