id,applicant,isbn,status
0,0001000,10114648,1
1,0001000,00744738,1
2,0001000,69703300,1
3,0001000,94499327,1
4,0001000,92791680,1
5,0001000,97208667,1
6,0001000,74206033,1
7,0001000,04165599,1
8,0001000,01771952,1
9,0001000,43519005,1
10,0001000,34691984,1
11,0001000,91551574,1
12,0001000,68388139,1
13,0001000,79819036,1
14,0001000,99321950,1
15,0001000,38144525,1
16,0001000,19539811,1
17,0001000,16204603,1
18,0001000,23037119,1
19,0001000,60987874,1
20,0101001,84875265,1
21,0101001,32538219,1
22,0101001,58606423,1
23,0101001,02640878,1
24,0101001,44839578,1
25,0101001,38026744,1
26,0101001,18889489,1
27,0101001,92370620,1
28,0101001,38579419,1
29,0101001,02945158,1
30,0101001,85652061,1
31,0101001,51886514,1
32,0101001,98113231,1
33,0101001,30248867,1
34,0101001,72677266,1
35,0101001,07774631,1
36,0101001,96523775,1
37,0101001,96494012,1
38,0101001,63349027,1
39,0101001,90150931,1
40,0201002,08777454,1
41,0201002,31062337,1
42,0201002,65792323,1
43,0201002,39412555,1
44,0201002,49358800,1
45,0201002,40802345,1
46,0201002,35632092,1
47,0201002,18787170,1
48,0201002,30414391,1
49,0201002,19209754,1
50,0201002,15613437,1
51,0201002,01057287,1
52,0201002,46722130,1
53,0201002,65548838,1
54,0201002,93841270,1
55,0201002,90626242,1
56,0201002,19276538,1
57,0201002,59231500,1
58,0201002,80236523,1
59,0201002,27675886,1
60,0301003,13983829,1
61,0301003,92852945,1
62,0301003,17972266,1
63,0301003,04717797,1
64,0301003,87763423,1
65,0301003,99221664,1
66,0301003,51261955,1
67,0301003,03615791,1
68,0301003,59674832,1
69,0301003,15317363,1
70,0301003,24159704,1
71,0301003,06031859,1
72,0301003,11961356,1
73,0301003,65370801,1
74,0301003,07561154,1
75,0301003,51443102,1
76,0301003,09316947,1
77,0301003,30995886,1
78,0301003,23483101,1
79,0301003,20134557,1
80,0401004,15202300,1
81,0401004,42383015,1
82,0401004,50746668,1
83,0401004,24487833,1
84,0401004,56717690,1
85,0401004,67367338,1
86,0401004,54265926,1
87,0401004,32601083,1
88,0401004,48276338,1
89,0401004,92072305,1
90,0401004,94128888,1
91,0401004,37119463,1
92,0401004,67496575,1
93,0401004,36136931,1
94,0401004,77901395,1
95,0401004,18059709,1
96,0401004,02476706,1
97,0401004,26191454,1
98,0401004,65414311,1
99,0401004,09554960,1
100,0501005,01889919,1
101,0501005,66231051,1
102,0501005,68576277,1
103,0501005,32614090,1
104,0501005,73997543,1
105,0501005,13044469,1
106,0501005,96108710,1
107,0501005,20527264,1
108,0501005,13954449,1
109,0501005,71447934,1
110,0501005,37004692,1
111,0501005,83144721,1
112,0501005,65294940,1
113,0501005,69261699,1
114,0501005,25016486,1
115,0501005,98476275,1
116,0501005,10975706,1
117,0501005,53910973,1
118,0501005,83507671,1
119,0501005,67788601,1
120,0001006,38380589,1
121,0001006,04772007,1
122,0001006,97095234,1
123,0001006,90940136,1
124,0001006,59332888,1
125,0001006,36468062,1
126,0001006,81747721,1
127,0001006,62356958,1
128,0001006,76908253,1
129,0001006,01859715,1
130,0001006,03195353,1
131,0001006,57231239,1
132,0001006,49293579,1
133,0001006,33347118,1
134,0001006,53541622,1
135,0001006,57141232,1
136,0001006,60988011,1
137,0001006,49944310,1
138,0001006,69254974,1
139,0001006,16066927,1
140,0101007,96102783,1
141,0101007,48259807,1
142,0101007,99100623,1
143,0101007,68192352,1
144,0101007,32538116,1
145,0101007,33507652,1
146,0101007,35043077,1
147,0101007,55094126,1
148,0101007,47596120,1
149,0101007,54051131,1
150,0101007,40808656,1
151,0101007,14818793,1
152,0101007,25586343,1
153,0101007,58196648,1
154,0101007,42808524,1
155,0101007,44058748,1
156,0101007,06987069,1
157,0101007,28815061,1
158,0101007,87928438,1
159,0101007,07727545,1
160,0201008,51756630,1
161,0201008,95416613,1
162,0201008,08427848,1
163,0201008,97560772,1
164,0201008,82549397,1
165,0201008,45011268,1
166,0201008,00378292,1
167,0201008,04593116,1
168,0201008,88007150,1
169,0201008,52963406,1
170,0201008,28472220,1
171,0201008,66297136,1
172,0201008,82620638,1
173,0201008,72366422,1
174,0201008,42285822,1
175,0201008,28406610,1
176,0201008,75638173,1
177,0201008,34102068,1
178,0201008,93887511,1
179,0201008,74682694,1
180,0301009,27691717,1
181,0301009,58348590,1
182,0301009,36381760,1
183,0301009,46408336,1
184,0301009,75534897,1
185,0301009,37671118,1
186,0301009,49792273,1
187,0301009,93762925,1
188,0301009,85446382,1
189,0301009,18992136,1
190,0301009,35096209,1
191,0301009,76689924,1
192,0301009,94980145,1
193,0301009,00163597,1
194,0301009,32769229,1
195,0301009,42182152,1
196,0301009,54663371,1
197,0301009,97046791,1
198,0301009,88253954,1
199,0301009,37514800,1
200,0401010,86163594,1
201,0401010,39606888,1
202,0401010,52014641,1
203,0401010,04286143,1
204,0401010,85777387,1
205,0401010,83563454,1
206,0401010,69789393,1
207,0401010,07508760,1
208,0401010,88536938,1
209,0401010,61183580,1
210,0401010,57481360,1
211,0401010,95925100,1
212,0401010,64805610,1
213,0401010,25707475,1
214,0401010,54262651,1
215,0401010,20576923,1
216,0401010,02987008,1
217,0401010,77199036,1
218,0401010,86929904,1
219,0401010,29639982,1
220,0501011,50162563,1
221,0501011,37043177,1
222,0501011,73724918,1
