id,name,time,place,association,publisher,publish_date,chief_editor,editors,link
0,2000年物理研讨会,2000-09-01,北京,物理学会,xxx 出版社,2001-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
1,2000年化学研讨会,2000-09-01,北京,化学学会,xxx 出版社,2001-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
2,2000年计算机研讨会,2000-07-01,苏州,计算机学会,xxx 出版社,2001-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
3,2000年数学研讨会,2000-12-01,北京,数学学会,xxx 出版社,2001-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
4,2000年心理研讨会,2000-01-01,苏州,心理学会,xxx 出版社,2001-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
5,2000年教育研讨会,2000-07-01,武汉,教育学会,xxx 出版社,2001-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
6,2000年当代文学研讨会,2000-07-01,北京,当代文学学会,xxx 出版社,2001-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
7,2000年比较文学研讨会,2000-08-01,北京,比较文学学会,xxx 出版社,2001-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
8,2001年物理研讨会,2001-11-01,北京,物理学会,xxx 出版社,2002-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
9,2001年化学研讨会,2001-12-01,西安,化学学会,xxx 出版社,2002-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
10,2001年计算机研讨会,2001-09-01,上海,计算机学会,xxx 出版社,2002-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
11,2001年数学研讨会,2001-04-01,上海,数学学会,xxx 出版社,2002-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
12,2001年心理研讨会,2001-09-01,广州,心理学会,xxx 出版社,2002-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
13,2001年教育研讨会,2001-10-01,上海,教育学会,xxx 出版社,2002-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
14,2001年当代文学研讨会,2001-02-01,北京,当代文学学会,xxx 出版社,2002-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
15,2001年比较文学研讨会,2001-12-01,南京,比较文学学会,xxx 出版社,2002-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
16,2002年物理研讨会,2002-11-01,南京,物理学会,xxx 出版社,2003-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
17,2002年化学研讨会,2002-03-01,西安,化学学会,xxx 出版社,2003-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
18,2002年计算机研讨会,2002-09-01,武汉,计算机学会,xxx 出版社,2003-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
19,2002年数学研讨会,2002-09-01,北京,数学学会,xxx 出版社,2003-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
20,2002年心理研讨会,2002-04-01,杭州,心理学会,xxx 出版社,2003-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
21,2002年教育研讨会,2002-10-01,广州,教育学会,xxx 出版社,2003-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
22,2002年当代文学研讨会,2002-06-01,杭州,当代文学学会,xxx 出版社,2003-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
23,2002年比较文学研讨会,2002-05-01,广州,比较文学学会,xxx 出版社,2003-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
24,2003年物理研讨会,2003-06-01,北京,物理学会,xxx 出版社,2004-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
25,2003年化学研讨会,2003-12-01,苏州,化学学会,xxx 出版社,2004-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
26,2003年计算机研讨会,2003-03-01,南京,计算机学会,xxx 出版社,2004-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
27,2003年数学研讨会,2003-05-01,武汉,数学学会,xxx 出版社,2004-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
28,2003年心理研讨会,2003-08-01,南京,心理学会,xxx 出版社,2004-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
29,2003年教育研讨会,2003-11-01,广州,教育学会,xxx 出版社,2004-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
30,2003年当代文学研讨会,2003-11-01,北京,当代文学学会,xxx 出版社,2004-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
31,2003年比较文学研讨会,2003-12-01,武汉,比较文学学会,xxx 出版社,2004-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
32,2004年物理研讨会,2004-08-01,西安,物理学会,xxx 出版社,2005-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
33,2004年化学研讨会,2004-03-01,武汉,化学学会,xxx 出版社,2005-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
34,2004年计算机研讨会,2004-07-01,杭州,计算机学会,xxx 出版社,2005-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
35,2004年数学研讨会,2004-12-01,西安,数学学会,xxx 出版社,2005-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
36,2004年心理研讨会,2004-07-01,武汉,心理学会,xxx 出版社,2005-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
37,2004年教育研讨会,2004-12-01,武汉,教育学会,xxx 出版社,2005-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
38,2004年当代文学研讨会,2004-07-01,杭州,当代文学学会,xxx 出版社,2005-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
39,2004年比较文学研讨会,2004-03-01,深圳,比较文学学会,xxx 出版社,2005-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
40,2005年物理研讨会,2005-02-01,北京,物理学会,xxx 出版社,2006-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
41,2005年化学研讨会,2005-11-01,广州,化学学会,xxx 出版社,2006-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
42,2005年计算机研讨会,2005-09-01,深圳,计算机学会,xxx 出版社,2006-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
43,2005年数学研讨会,2005-06-01,深圳,数学学会,xxx 出版社,2006-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
44,2005年心理研讨会,2005-03-01,北京,心理学会,xxx 出版社,2006-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
45,2005年教育研讨会,2005-02-01,广州,教育学会,xxx 出版社,2006-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
46,2005年当代文学研讨会,2005-01-01,武汉,当代文学学会,xxx 出版社,2006-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
47,2005年比较文学研讨会,2005-12-01,广州,比较文学学会,xxx 出版社,2006-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
48,2006年物理研讨会,2006-05-01,武汉,物理学会,xxx 出版社,2007-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
49,2006年化学研讨会,2006-11-01,武汉,化学学会,xxx 出版社,2007-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
50,2006年计算机研讨会,2006-05-01,北京,计算机学会,xxx 出版社,2007-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
51,2006年数学研讨会,2006-09-01,杭州,数学学会,xxx 出版社,2007-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
