id,issn,title,author,page,volume,number,publish_date,link

0,23176989,xxx improves yyy,龚静涵，蒋南晴，段诗双，任星纬，,699-711,536,5,1993-08-25,www.xxxxx.com
1,46854266,xxxxx 浅析,龚静涵，,833-877,184,6,1993-08-24,www.xxxxx.com
2,85118632,xxx 在 zzz 时促进了 yyy,龚静涵，蔡冰巧，彭桂枫，廖心思，,887-917,672,6,2020-04-23,www.xxxxx.com
3,98332250,xxxxx 小议,龚静涵，石莞尔，漕亦绿，萧文霞，,188-220,671,10,2019-10-24,www.xxxxx.com
4,64590580,xxxxx 刍议,龚静涵，曾婉仪，,426-444,877,2,2016-11-15,www.xxxxx.com
5,58698718,xxx has facilitated yyy,龚静涵，,579-584,3,12,2000-04-05,www.xxxxx.com
6,67624666,xxx improves yyy,龚静涵，陆博达，文正卿，,886-917,678,6,2007-10-13,www.xxxxx.com
7,96015863,xxxxx 浅析,龚静涵，,476-479,632,7,2004-09-13,www.xxxxx.com
8,62519347,xxxxx 刍议,龚静涵，江元恺，顾文敏，常寒凝，,550-595,876,8,2021-07-28,www.xxxxx.com
9,45500799,xxx has facilitated yyy,龚静涵，谢西华，,89-125,532,1,2004-06-27,www.xxxxx.com
10,23953375,xxx 在 zzz 时促进了 yyy,龚静涵，苏怜梦，郭炜婷，,253-292,951,7,2007-10-09,www.xxxxx.com
11,57060012,论 xxxx,龚静涵，田才英，孙嘉歆，龚奇胜，,32-35,271,6,1997-02-25,www.xxxxx.com
12,25504359,xxx has facilitated yyy,龚静涵，武鸿达，高凡阳，,40-79,865,5,1993-03-15,www.xxxxx.com
13,67624666,xxxxx 浅析,龚静涵，卢菊月，,337-358,298,1,2008-08-08,www.xxxxx.com
14,58698718,xxx 在 zzz 时促进了 yyy,龚静涵，,60-110,806,5,2009-10-21,www.xxxxx.com
15,68630103,xxx 在 zzz 时促进了 yyy,龚静涵，钱囡囡，,453-502,499,3,1994-02-10,www.xxxxx.com
16,99612153,论 xxxxx 在 xxxxx 中的应用,龚静涵，,567-575,848,4,2007-08-12,www.xxxxx.com
17,57060012,xxx 在 zzz 时促进了 yyy,龚静涵，杜元良，罗妍茜，姜彬彬，,618-659,273,6,1997-07-24,www.xxxxx.com
18,26988107,xxx improves yyy,龚静涵，韩友琴，文语兰，邱玉成，,562-609,340,6,2009-05-06,www.xxxxx.com
19,96015863,xxx 在 zzz 时促进了 yyy,龚静涵，高凡阳，杨雅懿，卢芮丽，,217-223,914,3,2010-03-24,www.xxxxx.com
20,77255062,xxxxx 浅析,龚静涵，钱承志，,145-154,30,5,2007-02-11,www.xxxxx.com
21,40863783,xxx improves yyy,龚静涵，郝修雅，孙嘉歆，,818-867,953,4,2019-06-07,www.xxxxx.com
22,40863783,xxx improves yyy,龚静涵，赖俊贤，夏雪漫，,669-697,698,6,2005-05-11,www.xxxxx.com
23,66041915,xxxxx 小议,龚静涵，吕宜春，高丝柳，龚奇胜，,877-895,641,2,2002-10-04,www.xxxxx.com
24,12183892,论 xxxx,龚静涵，李正志，,480-485,218,3,2006-07-18,www.xxxxx.com
25,19012303,论 xxxxx 在 xxxxx 中的应用,龚静涵，杨文康，傅平安，乔雁荷，,594-605,477,6,2005-12-28,www.xxxxx.com
26,45683228,xxxxx 刍议,龚静涵，孔翔宇，钱囡囡，龚静涵，,687-730,308,11,2009-08-01,www.xxxxx.com
27,85118632,xxxxx 浅析,龚静涵，毛良骥，万恨天，,899-908,702,7,2012-12-01,www.xxxxx.com
28,21626833,论 xxxxx 在 xxxxx 中的应用,龚静涵，孔海莲，丁锐达，,57-75,891,1,2018-01-27,www.xxxxx.com
29,64590580,论 xxxx,龚静涵，康以云，陆翠柔，,696-712,209,12,1997-04-09,www.xxxxx.com
30,85118632,xxxx 对 yyy 有重大影响,龚静涵，熊菁菁，程鹏运，崔锐逸，,998-1045,867,8,2009-06-03,www.xxxxx.com
31,70754113,论 xxxx,龚静涵，孔季同，,816-833,44,9,2007-02-15,www.xxxxx.com
32,19163613,论 xxxx,龚静涵，文春枫，韩乐正，,302-311,281,8,1997-09-12,www.xxxxx.com
33,66521703,论 xxxxx 在 xxxxx 中的应用,龚静涵，常温瑜，,488-528,910,11,2022-10-26,www.xxxxx.com
34,54663096,xxx 在 zzz 时促进了 yyy,龚静涵，邓和宜，,305-355,267,1,2000-08-12,www.xxxxx.com
35,85118632,xxxxx 小议,龚静涵，贺兰七，,510-542,507,2,2000-01-01,www.xxxxx.com
36,25504359,xxx has facilitated yyy,龚静涵，何建茗，,122-165,226,9,1993-12-01,www.xxxxx.com
37,85118632,xxxxx 浅析,龚静涵，武方玉，崔锐逸，陆永怡，,482-516,686,5,2006-06-01,www.xxxxx.com
38,77255062,xxx 在 zzz 时促进了 yyy,龚静涵，,754-775,46,1,2003-06-22,www.xxxxx.com
39,74407979,xxxxx 浅析,龚静涵，,828-861,935,4,2013-11-03,www.xxxxx.com
40,45500799,xxx 在 zzz 时促进了 yyy,丁如风，陆乐生，许向珊，,726-740,974,5,1991-11-08,www.xxxxx.com
41,12183892,xxxxx 浅析,丁如风，万恬萍，熊文虹，顾恺乐，,278-318,153,6,2005-04-23,www.xxxxx.com
42,66521703,论 xxxxx 在 xxxxx 中的应用,丁如风，,363-412,463,5,2022-06-22,www.xxxxx.com
43,23176989,xxxxx 小议,丁如风，潘奕叶，,667-672,867,6,2013-05-04,www.xxxxx.com
44,64590580,xxxxx 刍议,丁如风，董昊天，,538-543,55,6,1991-02-25,www.xxxxx.com
45,43545801,xxxxx 小议,丁如风，,910-957,874,12,2020-03-09,www.xxxxx.com
46,08338582,论 xxxx,丁如风，贾光耀，万恨天，,754-784,557,4,2019-09-04,www.xxxxx.com
47,99612153,xxxxx 小议,丁如风，戴晏如，梁仙韵，邓嘉德，,978-1001,884,9,2000-12-13,www.xxxxx.com
48,66041915,论 xxxx,丁如风，黎幸瑶，,287-314,179,8,1996-01-16,www.xxxxx.com
49,68630103,论 xxxx,丁如风，戴晏如，黄元良，,57-61,633,8,2008-12-08,www.xxxxx.com
50,19012303,xxxxx 刍议,丁如风，任明熙，胡承宣，,934-964,606,12,2011-04-16,www.xxxxx.com
51,97557353,论 xxxxx 在 xxxxx 中的应用,丁如风，钱承志，范飞绿，彭俊悟，,954-999,888,3,1990-02-13,www.xxxxx.com
52,45683228,xxxxx 浅析,丁如风，,327-350,203,9,2017-04-20,www.xxxxx.com
53,19012303,xxx has facilitated yyy,丁如风，,970-1008,358,5,2005-04-19,www.xxxxx.com
54,70754113,xxxxx 小议,丁如风，杜德容，郭俊名，江忠燕，,216-230,135,9,2022-10-10,www.xxxxx.com
55,43545801,xxx 在 zzz 时促进了 yyy,丁如风，苏怜梦，魏合乐，,195-244,908,8,2006-01-10,www.xxxxx.com
56,67624666,xxx improves yyy,丁如风，,72-113,995,3,1996-09-11,www.xxxxx.com
57,85118632,xxx 在 zzz 时促进了 yyy,丁如风，,813-859,147,6,2008-10-05,www.xxxxx.com
58,62519347,xxxx 对 yyy 有重大影响,丁如风，谢西华，熊鹏运，,528-577,530,1,2014-01-12,www.xxxxx.com
59,26988107,xxx has facilitated yyy,丁如风，钱代双，孔白柏，姜淑婉，,466-501,956,2,1994-03-02,www.xxxxx.com
60,99917471,xxxx 对 yyy 有重大影响,丁如风，,571-608,920,4,2005-11-27,www.xxxxx.com
61,67624666,xxxxx 刍议,丁如风，康吉月，文语兰，,48-74,43,1,2010-03-11,www.xxxxx.com
62,57060012,论 xxxx,丁如风，廖阳炎，薛德本，,403-442,59,10,2013-06-09,www.xxxxx.com
63,08338582,xxxx 对 yyy 有重大影响,丁如风，,168-190,499,5,2008-02-05,www.xxxxx.com
64,97557353,xxxxx 浅析,丁如风，何玄清，常寒凝，,983-991,564,1,1991-02-14,www.xxxxx.com
65,19163613,xxxx 对 yyy 有重大影响,丁如风，袁雅逸，高旦娅，,930-967,415,9,2016-05-15,www.xxxxx.com
66,70754113,xxxxx 小议,丁如风，,710-731,692,9,2004-09-15,www.xxxxx.com
67,23176989,xxx improves yyy,丁如风，于梓云，,988-1032,261,10,2006-11-12,www.xxxxx.com
68,45500799,xxxx 对 yyy 有重大影响,丁如风，钱代双，,610-643,650,1,1990-12-13,www.xxxxx.com
69,66521703,xxxxx 浅析,丁如风，郝弘阔，蒋天路，龙依婷，,258-264,131,1,1996-06-02,www.xxxxx.com
70,77255062,xxx improves yyy,丁如风，,115-138,432,3,1992-08-28,www.xxxxx.com
71,74407979,论 xxxx,丁如风，范许暖，于俊雄，,715-744,847,10,2005-06-08,www.xxxxx.com
72,09987703,xxxxx 浅析,丁如风，白心宜，方英飙，杨美玲，,120-158,162,1,2022-04-11,www.xxxxx.com
73,68630103,xxxxx 刍议,丁如风，许建树，王鸿雪，王鸿雪，,302-331,834,10,2013-05-14,www.xxxxx.com
74,33536340,xxxxx 浅析,丁如风，姜文轩，,363-385,475,5,1998-09-13,www.xxxxx.com
75,86310410,xxxxx 小议,丁如风，何俊侠，,661-670,625,7,2019-07-07,www.xxxxx.com
76,54663096,xxx 在 zzz 时促进了 yyy,丁如风，蔡娅思，彭娴婉，蒋浩荡，,955-1003,856,8,2007-09-01,www.xxxxx.com
77,64932775,论 xxxx,丁如风，,141-190,324,11,2000-06-26,www.xxxxx.com
78,46854266,xxxx 对 yyy 有重大影响,丁如风，邹泰清，邵英悟，,876-900,885,11,1998-10-11,www.xxxxx.com
79,99917471,xxx 在 zzz 时促进了 yyy,丁如风，,935-983,520,3,2002-04-22,www.xxxxx.com
80,25504359,论 xxxx,朱慧艳，,29-70,947,3,2004-04-01,www.xxxxx.com
81,70754113,xxxxx 小议,朱慧艳，徐英楠，,551-585,865,8,2006-04-08,www.xxxxx.com
82,64932775,xxxxx 刍议,朱慧艳，孙雁卉，,869-914,662,1,2001-08-06,www.xxxxx.com
83,66914660,xxxxx 小议,朱慧艳，冯彭丹，韩明轩，,936-972,574,7,2009-03-01,www.xxxxx.com
84,07473169,论 xxxx,朱慧艳，夏雪漫，,907-923,850,8,1992-03-24,www.xxxxx.com
85,26988107,论 xxxxx 在 xxxxx 中的应用,朱慧艳，,981-1015,388,9,2013-08-19,www.xxxxx.com
86,66041915,论 xxxxx 在 xxxxx 中的应用,朱慧艳，郑泰华，程鹏运，,131-144,631,11,2022-02-10,www.xxxxx.com
87,77255062,论 xxxx,朱慧艳，,496-511,259,10,2006-11-10,www.xxxxx.com
88,74407979,论 xxxx,朱慧艳，林华琳，卢芮丽，,823-853,113,1,2012-03-01,www.xxxxx.com
89,66914660,论 xxxxx 在 xxxxx 中的应用,朱慧艳，文春枫，,346-372,7,9,2016-04-15,www.xxxxx.com
90,45500799,xxx has facilitated yyy,朱慧艳，卢燕楠，赵斌蔚，,142-174,860,8,2019-03-25,www.xxxxx.com
91,96015863,xxx improves yyy,朱慧艳，,295-345,918,3,2011-03-28,www.xxxxx.com
92,96015863,论 xxxx,朱慧艳，林兰七，吕锦文，孔咏思，,171-197,880,5,2021-04-06,www.xxxxx.com
93,26988107,xxxxx 小议,朱慧艳，,155-204,293,5,1999-03-05,www.xxxxx.com
94,97557353,xxx has facilitated yyy,朱慧艳，陆永怡，,537-582,954,7,1999-08-26,www.xxxxx.com
95,74407979,xxx has facilitated yyy,朱慧艳，张燕岚，彭乐容，,704-724,353,8,2008-06-21,www.xxxxx.com
96,33536340,论 xxxxx 在 xxxxx 中的应用,朱慧艳，廖心思，薛嘉祥，文丹秋，,128-149,812,1,1995-09-23,www.xxxxx.com
97,09987703,xxxx 对 yyy 有重大影响,朱慧艳，汪悦玮，郝修雅，,974-996,922,10,2019-02-10,www.xxxxx.com
98,98332250,xxxx 对 yyy 有重大影响,朱慧艳，任明熙，龙英豪，,43-54,568,5,2018-11-19,www.xxxxx.com
99,09987703,xxxxx 小议,朱慧艳，,761-771,59,5,1993-12-04,www.xxxxx.com
100,99917471,xxxx 对 yyy 有重大影响,朱慧艳，,618-632,783,6,1998-10-07,www.xxxxx.com
101,45683228,xxx 在 zzz 时促进了 yyy,朱慧艳，陆永怡，尹良吉，,308-358,660,8,2022-12-22,www.xxxxx.com
102,58698718,论 xxxxx 在 xxxxx 中的应用,朱慧艳，许兴学，卢博延，,524-555,716,7,2010-04-16,www.xxxxx.com
103,57060012,论 xxxx,朱慧艳，崔天荷，何俊侠，,443-477,82,8,2022-04-11,www.xxxxx.com
104,12183892,xxxxx 小议,朱慧艳，,598-619,280,2,1996-08-06,www.xxxxx.com
105,66521703,xxx has facilitated yyy,朱慧艳，漕俊郎，廖敏学，赖子琪，,588-632,484,2,2018-10-05,www.xxxxx.com
106,67624666,论 xxxxx 在 xxxxx 中的应用,朱慧艳，,232-243,932,5,1998-03-02,www.xxxxx.com
107,57060012,xxx improves yyy,朱慧艳，钱囡囡，龙丹丹，,183-231,68,12,2011-12-14,www.xxxxx.com
108,57060012,xxx has facilitated yyy,朱慧艳，谭学博，,583-618,536,3,1996-07-11,www.xxxxx.com
109,54663096,xxx 在 zzz 时促进了 yyy,朱慧艳，段乐成，龙丹丹，,231-262,477,1,2002-04-05,www.xxxxx.com
110,66914660,xxxxx 刍议,朱慧艳，龙圣杰，,386-416,685,11,2019-01-26,www.xxxxx.com
111,23176989,xxxxx 刍议,朱慧艳，任影梅，刘亦瑶，,388-407,364,2,2006-02-20,www.xxxxx.com
